,number,aver_price,lat,long,demand,region,geometry
36,36,870440.251572327,35.5156173608712,129.316245401044,13,선암동,POINT (129.316245401044 35.5156173608712)
37,37,945344.7727994915,35.5156194982794,129.315948087544,20,선암동,POINT (129.315948087544 35.5156194982794)
38,38,949793.0,35.5150322190091,129.317118537417,15,선암동,POINT (129.317118537417 35.5150322190091)
39,39,949793.0,35.5148272817648,129.316936582226,15,선암동,POINT (129.316936582226 35.5148272817648)
40,40,1065670.670070416,35.5154745391347,129.316163080797,19,선암동,POINT (129.316163080797 35.5154745391347)
41,41,1093189.964157706,35.515550324349,129.316053252038,14,선암동,POINT (129.316053252038 35.515550324349)
42,42,1136913.401064344,35.511295509098,129.312687991556,8,선암동,POINT (129.312687991556 35.511295509098)
43,43,1176652.0,35.5145164147197,129.317685922501,8,선암동,POINT (129.317685922501 35.5145164147197)
44,44,1214635.0,35.5148443363068,129.31836770164,23,선암동,POINT (129.31836770164 35.5148443363068)
45,45,1279005.0,35.5142810893387,129.317389755209,2,선암동,POINT (129.317389755209 35.5142810893387)
46,46,1284138.0,35.5150008027277,129.317803104029,2,선암동,POINT (129.317803104029 35.5150008027277)
47,47,1330869.626233803,35.5153525801771,129.317475411453,6,선암동,POINT (129.317475411453 35.5153525801771)
48,48,1336355.0,35.5154708786118,129.316538754743,13,선암동,POINT (129.316538754743 35.5154708786118)
49,49,1376930.0,35.5183179844656,129.315484127552,12,선암동,POINT (129.315484127552 35.5183179844656)
50,50,1411303.0,35.513759058351,129.3180076075,20,선암동,POINT (129.3180076075 35.513759058351)
51,51,580679.6895905808,35.5243588639258,129.32109538695,8,대현동,POINT (129.32109538695 35.5243588639258)
52,52,667735.4709418836,35.5258596511561,129.333163958565,19,대현동,POINT (129.333163958565 35.5258596511561)
53,53,669659.1046948925,35.529576410909,129.32903311828,8,대현동,POINT (129.32903311828 35.529576410909)
54,54,767179.487179487,35.5252243062336,129.323755101403,7,대현동,POINT (129.323755101403 35.5252243062336)
55,55,781565.0,35.5267666447783,129.330744955672,24,대현동,POINT (129.330744955672 35.5267666447783)
56,56,803252.1918009502,35.5250738697558,129.330070553124,11,대현동,POINT (129.330070553124 35.5250738697558)
57,57,803961.239484613,35.5231487196202,129.329463191336,7,대현동,POINT (129.329463191336 35.5231487196202)
58,58,807404.4899566758,35.5257717453674,129.329834862348,15,대현동,POINT (129.329834862348 35.5257717453674)
59,59,822583.6604972894,35.5271510423627,129.322168832947,2,대현동,POINT (129.322168832947 35.5271510423627)
60,60,861316.6382090684,35.5252359053211,129.333280994,13,대현동,POINT (129.333280994 35.5252359053211)
61,61,885315.1397011045,35.529273292381,129.327920155773,2,대현동,POINT (129.327920155773 35.529273292381)
62,62,892370.5722070844,35.5231834610416,129.330350239224,16,대현동,POINT (129.330350239224 35.5231834610416)
63,63,902086.074046232,35.5269826396868,129.321737367712,9,대현동,POINT (129.321737367712 35.5269826396868)
64,64,915331.8077803205,35.5253780197284,129.33472452042,7,야음장생포동,POINT (129.33472452042 35.5253780197284)
65,65,916838.0840434909,35.5241980193065,129.332014285312,1,대현동,POINT (129.332014285312 35.5241980193065)
